edrpou,name,short_name,opf,stan,registration,terminated_info
08562909,"ДЕРЖАВНА УСТАНОВА ""ДНІПРОВСЬКА ВИПРАВНА КОЛОНІЯ(№ 89)""",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.03.1999; 19.01.2006; 12241200000022958,
08562921,"ДЕРЖАВНА УСТАНОВА ""СОЛОНЯНСЬКА ВИПРАВНА КОЛОНІЯ (№21)""",СОЛОНЯНСЬКА ВИПРАВНА КОЛОНІЯ №21,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 01.07.2008; 12151200000000577,
08562973,"Державна установа ""Табір для тримання військовополонених ""Центр 5""","табір ""Центр 5""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 17.12.2004; 12171200000000015,
08563553,"ДЕРЖАВНА УСТАНОВА ""ЗАПОРІЗЬКИЙ  СЛІДЧИЙ  ІЗОЛЯТОР""",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 14.04.2006; 11031200000013025,
08563694,"ДЕРЖАВНА УСТАНОВА ""КИЇВСЬКИЙ СЛІДЧИЙ ІЗОЛЯТОР""",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.01.1964; 07.12.2006; 10741200000021675,
08571995,ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ ВНУТРІШНІХ СПРАВ,ЛЬВДУВС,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.12.2005; 29.03.2006; 14151200000011914,
08590768,КРИВОРІЗЬКИЙ ЛІЦЕЙ БЕЗПЕКОВОГО СПРЯМУВАННЯ ТА НАЦІОНАЛЬНО-ПАТРІОТИЧНОГО ВИХОВАННЯ МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ,КРИВОРІЗЬКИЙ ЛІЦЕЙ МВС,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,31.05.2004; 08.05.2007; 10701200000028117,
08731849,"ДЕРЖАВНА УСТАНОВА ""МЕНСЬКА ВИПРАВНА КОЛОНІЯ (№91)""",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 15.07.2005; 10501200000000155,
08733162,"ДЕРЖАВНА УСТАНОВА ""ТЕМНІВСЬКА ВИПРАВНА КОЛОНІЯ (№100) """,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1999; 19.01.2005; 14711200000000339,
08733899,"ДЕРЖАВНА УСТАНОВА ""ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ ПО СУМСЬКІЙ ОБЛАСТІ""","ДУ ""ТМО МВС УКРАЇНИ ПО СУМСЬКІЙ ОБЛАСТІ""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.06.2004; 25.04.2007; 16321200000005717,
08734492,"ДЕРЖАВНА УСТАНОВА ""ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ МІНІСТЕРСТВА ВНУТРІШНІХ СПРАВ УКРАЇНИ ПО ЗАКАРПАТСЬКІЙ ОБЛАСТІ""","ДУ ""ТМО МВС УКРАЇНИ ПО ЗАКАРПАТСЬКІЙ ОБЛАСТІ""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,03.06.1994; 14.05.2007; 13241200000003144,
08751177,НАЦІОНАЛЬНА АКАДЕМІЯ ВНУТРІШНІХ СПРАВ,НАВС,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,27.01.1992; 20.02.2006; 10731200000008702,
08803661,ВІЙСЬКОВА ЧАСТИНА 3029 НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,19.03.1993; 12.11.2014; 11031450000037050,
13310311,ЛІЦЕЙ №1 м. НЕМИРОВА ім. М.Д. ЛЕОНТОВИЧА НЕМИРІВСЬКОЇ МІСЬКОЇ РАДИ,ЛІЦЕЙ №1 м. НЕМИРОВА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,21.05.2002; 28.02.2008; 11601200000000507,
13736671,КОЦЮБИНСЬКИЙ ЛІЦЕЙ №1 КОЦЮБИНСЬКОЇ СЕЛИЩНОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,КОЦЮБИНСЬКИЙ ЛІЦЕЙ №1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.07.1992; 10.05.2006; 13571200000001425,
14023068,"КОМУНАЛЬНА УСТАНОВА СУМСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ №6, М. СУМИ, СУМСЬКОЇ ОБЛАСТІ",КУ СУМСЬКА ЗОШ №6,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.10.1993; 17.12.2004; 16321200000000780,
14231737,"АКЦІОНЕРНЕ ТОВАРИСТВО ""БАЗИС""","АТ ""БАЗИС""",АКЦІОНЕРНЕ ТОВАРИСТВО,в стані припинення,20.06.1994; 25.06.2005; 10641200000001977,
14271109,"комунальний заклад ""Чернівецький обласний навчально-реабілітаційний центр № 1""",Чернівецький навчально-реабілітаційний центр № 1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.11.2001; 12.04.2011; 10381450000007152,
14316936,"ДЕРЖАВНА УСТАНОВА ""КАГАРЛИЦЬКА ВИПРАВНА КОЛОНІЯ(№115)""",КАГАРЛИЦЬКА ВИПРАВНА КОЛОНІЯ (№115),"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.07.2000; 25.12.2008; 13381200000000647,
14321541,ВІЙСЬКОВА ЧАСТИНА 1472,ВЧ 1472,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,01.08.2003; 31.03.2006; 11411200000000903,
14321618,ГОЛОВНИЙ ВІЙСЬКОВО-МЕДИЧНИЙ КЛІНІЧНИЙ ЦЕНТР (ЦЕНТРАЛЬНИЙ КЛІНІЧНИЙ ГОСПІТАЛЬ ) ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ (ВІЙСЬКОВА ЧАСТИНА 1465),ГВМКЦ (ЦКГ) ДПСУ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,19.04.2004; 21.02.2006; 10681200000014493,
14321624,ВІЙСЬКОВА ЧАСТИНА 1489,В/Ч 1489,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.03.2005; 31.03.2005; 15561200000006483,
14321883,ВІЙСЬКОВА ЧАСТИНА 2382,В/Ч 2382,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.05.1998; 16.11.2011; 10751200000001284,
14323416,ВІЙСЬКОВА ЧАСТИНА 1141,В/Ч 1141,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,19.01.2000; 14.06.2012; 11981020000006835,03.10.2014; 11981120003006835; Державна реєстрація припинення юридичної особи в результаті її реорганізації
14373294,Головний логістичний центр Державної прикордонної служби України (військова частина 1575),Військова частина 1575,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,09.04.1998; 02.02.2006; 13971200000000314,
16502790,"ДЕРЖАВНЕ ПІДПРИЄМСТВО УКРАЇНИ ""МІЖНАРОДНИЙ ДИТЯЧИЙ ЦЕНТР ""АРТЕК""","ДПУ МДЦ ""АРТЕК""",ДЕРЖАВНЕ ПІДПРИЄМСТВО,в стані припинення,19.06.1995; 19.07.2005; 11461200000001249,
20001562,УПРАВЛІННЯ СЛУЖБИ БЕЗПЕКИ УКРАЇНИ В ЗАКАРПАТСЬКІЙ ОБЛАСТІ,УСБУ В ЗАКАРПАТСЬКІЙ ОБЛАСТІ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.01.1995; 09.12.2005; 13241200000001661,
20087813,УЛАНІВСЬКИЙ ЛІЦЕЙ УЛАНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ,УЛАНІВСЬКИЙ ЛІЦЕЙ ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.04.2002; 03.11.2006; 11691200000000245,
20131856,"ОПОРНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ""ЛОКАЧИНСЬКИЙ ЛІЦЕЙ"" ЛОКАЧИНСЬКОЇ СЕЛИЩНОЇ РАДИ ВОЛОДИМИРСЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ","ОЗЗСО ""ЛОКАЧИНСЬКИЙ ЛІЦЕЙ"" ","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.04.1992; 07.11.2005; 11861200000000098,
20453376,ХУСТСЬКА СПЕЦІАЛЬНА ШКОЛА І-ІІІ СТУПЕНІВ ЗАКАРПАТСЬКОЇ ОБЛАСНОЇ РАДИ,ХУСТСЬКА СПЕЦІАЛЬНА ШКОЛА ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.09.1996; 11.04.2005; 13251200000000097,
20508858,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЗАПОРІЗЬКА СПЕЦІАЛЬНА ЗАГАЛЬНООСВІТНЯ ШКОЛА-ІНТЕРНАТ № 2"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ",ЗАПОРІЗЬКА ШКОЛА-ІНТЕРНАТ №2,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.02.1991; 18.02.2009; 11031200000024905,
20509042,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЗАПОРІЗЬКИЙ ОБЛАСНИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ ""АЛЬТА"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ","КЗ ""ЗАПОРІЗЬКИЙ ОБЛАСНИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ ""АЛЬТА"" ЗОР","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.10.2001; 08.11.2006; 11031200000016097,
20518733,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЗАПОРІЗЬКА СПЕЦІАЛЬНА ЗАГАЛЬНООСВІТНЯ ШКОЛА-ІНТЕРНАТ ""ОРІЄНТИР"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ","ЗАПОРІЗЬКА ШКОЛА-ІНТЕРНАТ ""ОРІЄНТИР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.10.2001; 15.08.2008; 11031200000023663,
20558856,"ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ (ЯСЛА-САДОК) № 10 ""КАТРУСЯ"" ІВАНО-ФРАНКІВСЬКОЇ МІСЬКОЇ РАДИ","ЗДО № 10 ""КАТРУСЯ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.06.2004; 10.07.2006; 11191200000004106,
20559212,"ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ (ЯСЛА-САДОК) №4 ""КАЛИНОВА СОПІЛКА"" ІВАНО-ФРАНКІВСЬКОЇ МІСЬКОЇ РАДИ","ЗДО №4 ""КАЛИНОВА СОПІЛКА""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.06.2004; 14.07.2006; 11191200000004110,
20583682,ДЕМИДІВСЬКИЙ ЛІЦЕЙ ДИМЕРСЬКОЇ СЕЛИЩНОЇ РАДИ,ДЕМИДІВСЬКИЙ ЛІЦЕЙ ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.03.1998; 30.08.2016; 13341200001004327,
20602327,БІЛОЦЕРКІВСЬКИЙ ЛІЦЕЙ-ГІМНАЗІЯ №12 БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ,БІЛОЦЕРКІВСЬКИЙ ЛІЦЕЙ №12,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,31.01.1994; 07.09.2005; 13531200000001123,
20623513,РЖИЩІВСЬКИЙ ГЕРІАТРИЧНИЙ ПАНСІОНАТ,РГП,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.02.1995; 14.03.2005; 13591200000000011,
20760948,"МЕДИЧНИЙ РЕАБІЛІТАЦІЙНИЙ ЦЕНТР МВС УКРАЇНИ ""ПЕРЛИНА ПРИКАРПАТТЯ""","МРЦ МВС УКРАЇНИ ""ПЕРЛИНА ПРИКАРПАТТЯ""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,20.02.1992; 13.08.2004; 14181200000000003,
20835913,ЛЬВІВСЬКИЙ ПРОФЕСІЙНИЙ КОЛЕДЖ ГОТЕЛЬНО-ТУРИСТИЧНОГО ТА РЕСТОРАННОГО СЕРВІСУ,ЛЬВІВСЬКИЙ  ПКГТРС,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",в стані припинення,18.08.2003; 18.02.2005; 14151200000003401,
20989154,УПРАВЛІННЯ ОСВІТИ БІЛГОРОД-ДНІСТРОВСЬКОЇ МІСЬКОЇ РАДИ,УПРАВЛІННЯ ОСВІТИ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.10.2002; 28.12.2005; 15521200000000578,
21065765,ПИРЯТИНСЬКИЙ ЛІЦЕЙ ПИРЯТИНСЬКОЇ МІСЬКОЇ РАДИ ПОЛТАВСЬКОЇ ОБЛАСТІ,ПИРЯТИНСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.07.2004; 06.12.2004; 15761200000000047,
21078029,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ДІАДЕМА""","ПП ""ДІАДЕМА""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,14.04.1998; 26.01.2006; 15851200000002621,
21340160,"НЕТІШИНСЬКА ГІМНАЗІЯ ""ГАРМОНІЯ"" НЕТІШИНСЬКОЇ МІСЬКОЇ РАДИ ШЕПЕТІВСЬКОГО РАЙОНУ ХМЕЛЬНИЦЬКОЇ ОБЛАСТІ","НЕТІШИНСЬКА ГІМНАЗІЯ ""ГАРМОНІЯ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,01.02.1995; 17.01.2007; 16721200000000284,
21423970,ГЕРЦАЇВСЬКА МІСЬКА РАДА ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,ГЕРЦАЇВСЬКА МІСЬКА РАДА,ОРГАН МІСЦЕВОГО САМОВРЯДУВАННЯ,зареєстровано,21.05.1997; 06.07.2006; 10281200000000132,
21505980,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІРМА ""ФАВОР""","ТОВ ""ФІРМА ""ФАВОР""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,12.07.1993; 12.08.2004; 10721200000000247,
21620913,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГРАНАТ""","ТОВ ""ГРАНАТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,11.08.1995; 02.08.2004; 10671200000000136,
21723406,ТУЛЬЧИНСЬКИЙ ЛІЦЕЙ №1 ТУЛЬЧИНСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ,ТУЛЬЧИНСЬКИЙ ЛІЦЕЙ №1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.12.1992; 09.01.2005; 11681200000000064,
22061485,Заклад дошкільної освіти № 6 міста Житомира,ЗДО № 6 м.Житомира,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,27.02.2003; 14.03.2006; 13051200000003548,
22061841,Заклад дошкільної освіти № 57 міста Житомира,ЗДО № 57 м.Житомира,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,11.02.1993; 27.01.2006; 13051200000003317,
22094289,БЕРЕГІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ГАБОРА БЕТЛЕНА БЕРЕГІВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,БЕРЕГІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ГАБОРА БЕТЛЕНА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.06.1995; 24.04.2008; 13221200000000463,
22114862,БУШТИНСЬКИЙ ЛІЦЕЙ БУШТИНСЬКОЇ СЕЛИЩНОЇ РАДИ ТЯЧІВСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,"""БУШТИНСЬКИЙ ЛІЦЕЙ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1996; 25.02.2005; 13191200000000232,
22133718,"КОМУНАЛЬНИЙ   ЗАКЛАД ВИЩОЇ ОСВІТИ  ""ХОРТИЦЬКА НАЦІОНАЛЬНА НАВЧАЛЬНО-РЕАБІЛІТАЦІЙНА АКАДЕМІЯ"" ЗАПОРІЗЬКОЇ ОБЛАСНОЇ РАДИ","""ХОРТИЦЬКА НАЦІОНАЛЬНА АКАДЕМІЯ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.12.1995; 17.12.2005; 11031200000010661,
22203264,Кучаківський ліцей імені гетьмана Івана Сулими Бориспільської міської ради Київської області,Кучаківський ліцей імені гетьмана Івана Сулими,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,16.03.1995; 27.12.2006; 13301200000001084,
22203815,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) КОМУНАЛЬНИЙ ЗАКЛАД КИЇВСЬКОЇ ОБЛАСНОЇ РАДИ ""КИЇВСЬКИЙ ОБЛАСНИЙ ЛІЦЕЙ""","КЗ КОР ""КИЇВСЬКИЙ ОБЛАСНИЙ ЛІЦЕЙ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.04.1995; 22.09.2009; 13351200000000377,
22207996,ВЕЛИКОДИМЕРСЬКИЙ ЛІЦЕЙ ВЕЛИКОДИМЕРСЬКОЇ СЕЛИЩНОЇ РАДИ БРОВАРСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,ВЕЛИКОДИМЕРСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,27.08.2001; 14.02.2006; 13321200000000614,
22219354,"КОМУНАЛЬНИЙ ЗАКЛАД ""СВІТЛОВОДСЬКА СПЕЦІАЛЬНА ШКОЛА КІРОВОГРАДСЬКОЇ ОБЛАСНОЇ РАДИ""","КЗ ""СВІТЛОВОДСЬКА СПЕЦІАЛЬНА ШКОЛА КОР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,21.11.1996; 01.11.2018; 14461450000002722,
22404614,"ПРИВАТНЕ ПІДПРИЄМСТВО ""СУЗІР'Я""","ПП ""СУЗІР'Я""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,16.02.1995; 28.01.2005; 14191200000000149,
22538987,"КРЕМЕНЧУЦЬКИЙ ЛІЦЕЙ №17 ""ВИБІР"" ІМЕНІ М.Г.НЕЛЕНЯ КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ",КРЕМЕНЧУЦЬКИЙ ЛІЦЕЙ №17,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.11.2001; 17.02.2005; 15851200000000805,
22547644,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЦЕНТР СОЦІАЛЬНО - ПСИХОЛОГІЧНОЇ РЕАБІЛІТАЦІЇ ДІТЕЙ"" ПОЛТАВСЬКОЇ ОБЛАСНОЇ РАДИ","КЗ ""ЦСПРД"" ПОР","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.07.2001; 08.11.2005; 15601200000000219,
22548394,МИРГОРОДСЬКИЙ ЛІЦЕЙ ІМЕНІ Т.Г.ШЕВЧЕНКА МИРГОРОДСЬКОЇ МІСЬКОЇ РАДИ ПОЛТАВСЬКОЇ ОБЛАСТІ,МИРГОРОДСЬКИЙ ЛІЦЕЙ ІМ.Т.Г.ШЕВЧЕНКА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.03.1994; 06.01.2005; 15871200000000045,
22548922,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №3 КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №3,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.03.2001; 17.03.2005; 15851200000000930,
22559434,ЗАРІЧНЕНСЬКИЙ  ЦЕНТР НАДАННЯ СОЦІАЛЬНИХ ПОСЛУГ ЗАРІЧНЕНСЬКОЇ СЕЛИЩНОЇ РАДИ ВАРАСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ,,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.08.1995; 17.02.2005; 15951200000000031,
22774245,"КОМУНАЛЬНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ""ГІМНАЗІЯ №12 ХМЕЛЬНИЦЬКОЇ МІСЬКОЇ РАДИ""","""ГІМНАЗІЯ №12""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.05.1995; 21.12.2005; 16731200000002630,
22786426,"КОМУНАЛЬНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ""ЛІЦЕЙ №17 ХМЕЛЬНИЦЬКОЇ МІСЬКОЇ РАДИ""","""ЛІЦЕЙ №17""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.05.1998; 26.12.2005; 16731200000002679,
22798277,"ПРИВАТНЕ ПІДПРИЄМСТВО ""АРГО""","ПП ""АРГО""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,10.05.1995; 25.10.2005; 10251200000000423,
22831813,ОПОРНИЙ ЗАКЛАД ОСВІТИ «ВОЛОКІВСЬКИЙ ЛІЦЕЙ» ВОЛОКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,ОЗО «ВОЛОКІВСЬКИЙ ЛІЦЕЙ»,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,09.11.1995; 18.05.2005; 10291200000000108,
22875220,"ЛІЦЕЙ ""ДОМІНАНТА"" ДНІПРОВСЬКОГО РАЙОНУ М. КИЄВА","ЛІЦЕЙ ""ДОМІНАНТА"" М. КИЄВА","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.04.2004; 30.08.2004; 10671200000000381,
22999932,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ВІЙСЬКОВА ЧАСТИНА А3723",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",скасовано,,
23018304,"Опорний заклад ""Вишнівський ліцей"" Вишнівської сільської ради","ОЗ ""Вишнівський ліцей""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,03.08.1995; 17.10.2005; 11891200000000140,
23049747,КОМУНАЛЬНИЙ ЗАКЛАД СУМСЬКИЙ ЛІЦЕЙ № 24 СУМСЬКОЇ МІСЬКОЇ РАДИ,КЗ Сумський ліцей № 24 СМР,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.04.1995; 11.11.2004; 16321200000000559,
23064971,"КОМУНАЛЬНИЙ ЗАКЛАД "" ЖМЕРИНСЬКИЙ ЛІЦЕЙ №5 ""","КЗ "" ЖМЕРИНСЬКИЙ ЛІЦЕЙ №5""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.01.1994; 12.05.2006; 11751200000000218,
